;$;AND;BOOL;COMMA;C_rest;DIVIDE;ELSE;EQ;EQUALS;E_rest;FALSE;FLOAT;FLOAT_NUM;FOR;F_rest;For;GE;GT;ID;IF;INT;INT_NUM;If;LBRACE;LE;LPAREN;LT;MAIN;MINUS;MOD;NE;OR;PLUS;PRINT;Print;RBRACE;RETURN;RPAREN;R_rest;Return;SEMI;STRING;STRING_LITERAL;TIMES;TRUE;T_rest;VOID;WHILE;While;bloque;declaracion;exp;exp_opt;for_assignment;funcion;funcion_rest;funciones;id_rhs_instruccion;inicializacion;instruccion;instrucciones;lista_args_rest;llamada_func;parametro;parametros;parametros_rest;tipo
A;;;;;;;;;;;FALSE;;FLOAT_NUM;;;;;;ID llamada_func;;;INT_NUM;;;;LPAREN exp RPAREN;;;;;;;;;;;;;;;;;STRING_LITERAL;;TRUE;;;;;;;;;;;;;;;;;;;;;;
C;;;;;;;;;;;R C_rest;;R C_rest;;;;;;R C_rest;;;R C_rest;;;;R C_rest;;;;;;;;;;;;;;;;;R C_rest;;R C_rest;;;;;;;;;;;;;;;;;;;;;;
C_rest;;AND R C_rest;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;;;ε;;;;;;ε;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;
E;;;;;;;;;;;C E_rest;;C E_rest;;;;;;C E_rest;;;C E_rest;;;;C E_rest;;;;;;;;;;;;;;;;;C E_rest;;C E_rest;;;;;;;;;;;;;;;;;;;;;;
E_rest;;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;;;OR C E_rest;;;;;;ε;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;
Else;;;;;;;ELSE bloque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
F;;;;;;;;;;;A F_rest;;A F_rest;;;;;;A F_rest;;;A F_rest;;;;A F_rest;;;;;;;;;;;;;;;;;A F_rest;;A F_rest;;;;;;;;;;;;;;;;;;;;;;
F_rest;;ε;;ε;;DIVIDE A F_rest;;ε;;;;;;;;;ε;ε;;;;;;;ε;;ε;;ε;MOD A F_rest;ε;ε;ε;;;;;ε;;;ε;;;TIMES A F_rest;;;;;;;;;;;;;;;;;;;;;;;
For;;;;;;;;;;;;;;FOR LPAREN for_assignment SEMI exp SEMI for_assignment RPAREN bloque;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
If;;;;;;;;;;;;;;;;;;;;IF LPAREN exp RPAREN bloque ELSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Print;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R;;;;;;;;;;;T R_rest;;T R_rest;;;;;;T R_rest;;;T R_rest;;;;T R_rest;;;;;;;;;;;;;;;;;T R_rest;;T R_rest;;;;;;;;;;;;;;;;;;;;;;
R_rest;;ε;;ε;;;;EQ T R_rest;;;;;;;;;GE T R_rest;GT T R_rest;;;;;;;LE T R_rest;;LT T R_rest;;;;NE T R_rest;ε;;;;;;ε;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;
Return;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;RETURN exp_opt SEMI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
T;;;;;;;;;;;F T_rest;;F T_rest;;;;;;F T_rest;;;F T_rest;;;;F T_rest;;;;;;;;;;;;;;;;;F T_rest;;F T_rest;;;;;;;;;;;;;;;;;;;;;;
T_rest;;ε;;ε;;;;ε;;;;;;;;;ε;ε;;;;;;;ε;;ε;;MINUS F T_rest;;ε;ε;PLUS F T_rest;;;;;ε;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;
While;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;WHILE LPAREN exp RPAREN bloque;;;;;;;;;;;;;;;;;;;
bloque;;;;;;;;;;;;;;;;;;;;;;;;LBRACE instrucciones RBRACE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
declaracion;;;tipo ID inicializacion;;;;;;;;;tipo ID inicializacion;;;;;;;;;tipo ID inicializacion;;;;;;;;;;;;;;;;;;;;;tipo ID inicializacion;;;;;tipo ID inicializacion;;;;;;;;;;;;;;;;;;;;
exp;;;;;;;;;;;E;;E;;;;;;E;;;E;;;;E;;;;;;;;;;;;;;;;;E;;E;;;;;;;;;;;;;;;;;;;;;;
exp_opt;;;;;;;;;;;exp;;exp;;;;;;exp;;;exp;;;;exp;;;;;;;;;;;;;;;ε;;exp;;exp;;;;;;;;;;;;;;;;;;;;;;
for_assignment;;;;;;;;;;;;;;;;;;;ID EQUALS exp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
funcion;;;tipo ID funcion_rest;;;;;;;;;tipo ID funcion_rest;;;;;;;;;tipo ID funcion_rest;;;;;;;MAIN LPAREN RPAREN bloque;;;;;;;;;;;;;;tipo ID funcion_rest;;;;;tipo ID funcion_rest;;;;;;;;;;;;;;;;;;;;
funcion_rest;;;;;;;;;inicializacion SEMI;;;;;;;;;;;;;;;;;LPAREN parametros RPAREN bloque;;;;;;;;;;;;;;;inicializacion SEMI;;;;;;;;;;;;;;;;;;;;;;;;;;
funciones;ε;;funcion funciones;;;;;;;;;funcion funciones;;;;;;;;;funcion funciones;;;;;;;funcion funciones;;;;;;;;;;;;;;funcion funciones;;;;;funcion funciones;;;;;;;;;;;;;;;;;;;;
id_rhs_instruccion;;;;;;;;;EQUALS exp SEMI;;;;;;;;;;;;;;;;;llamada_func SEMI;;;;;;;;;;;;;;;llamada_func SEMI;;;;;;;;;;;;;;;;;;;;;;;;;;
inicializacion;;;;;;;;;EQUALS exp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;
instruccion;;;declaracion SEMI;;;;;;;;;declaracion SEMI;;For;;;;;ID id_rhs_instruccion;If;declaracion SEMI;;;;;;;;;;;;;Print;;;Return;;;;;declaracion SEMI;;;;;declaracion SEMI;While;;;;;;;;;;;;;;;;;;;
instrucciones;;;instruccion instrucciones;;;;;;;;;instruccion instrucciones;;instruccion instrucciones;;;;;instruccion instrucciones;instruccion instrucciones;instruccion instrucciones;;;;;;;;;;;;;instruccion instrucciones;;ε;instruccion instrucciones;;;;;instruccion instrucciones;;;;;instruccion instrucciones;instruccion instrucciones;;;;;;;;;;;;;;;;;;;
lista_args;;;;;;;;;;;exp lista_args_rest;;exp lista_args_rest;;;;;;exp lista_args_rest;;;exp lista_args_rest;;;;exp lista_args_rest;;;;;;;;;;;;ε;;;;;exp lista_args_rest;;exp lista_args_rest;;;;;;;;;;;;;;;;;;;;;;
lista_args_rest;;;;COMMA exp lista_args_rest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
llamada_func;;ε;;ε;;ε;;ε;;;;;;;;;ε;ε;;;;;;;ε;LPAREN lista_args RPAREN;ε;;ε;ε;ε;ε;ε;;;;;ε;;;ε;;;ε;;;;;;;;;;;;;;;;;;;;;;;
parametro;;;tipo ID;;;;;;;;;tipo ID;;;;;;;;;tipo ID;;;;;;;;;;;;;;;;;;;;;tipo ID;;;;;tipo ID;;;;;;;;;;;;;;;;;;;;
parametros;;;parametro parametros_rest;;;;;;;;;parametro parametros_rest;;;;;;;;;parametro parametros_rest;;;;;;;;;;;;;;;;;ε;;;;parametro parametros_rest;;;;;parametro parametros_rest;;;;;;;;;;;;;;;;;;;;
parametros_rest;;;;COMMA parametro parametros_rest;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ε;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
programa;;;funciones;;;;;;;;;funciones;;;;;;;;;funciones;;;;;;;funciones;;;;;;;;;;;;;;funciones;;;;;funciones;;;;;;;;;;;;;;;;;;;;
tipo;;;BOOL;;;;;;;;;FLOAT;;;;;;;;;INT;;;;;;;;;;;;;;;;;;;;;STRING;;;;;VOID;;;;;;;;;;;;;;;;;;;;
